,url,SBERT Similarity,LaBSE Similarity,TF-IDF Similarity,name
0,https://vingroup.net/,0.807757,0.56771904,0.27373369405540127,TẬP ĐOÀN VINGROUP -  CÔNG TY CP
0,"https://mekongasean.vn/to-ng-ta-i-sa-n-vingroup-vuot-nguong-700000-ty-do-ng-31407.html#:~:text=T%E1%BB%95ng%20s%E1%BB%91%20n%E1%BB%A3%20c%E1%BB%A7a%20Vingroup,l%E1%BB%9Bn%20v%E1%BB%9Bi%20418.112%20t%E1%BB%B7%20%C4%91%E1%BB%93ng.",0.84539616,0.5376409,0.2280106142887132,TẬP ĐOÀN VINGROUP -  CÔNG TY CP
0,https://www.baoviet.com.vn/insurance/,0.47111267,0.3269749,0.504908004483419,TỔNG CÔNG TY BẢO HIỂM BẢO VIỆT
0,https://baovietonline.com.vn/,0.49220875,0.34260005,0.4451239973355965,TỔNG CÔNG TY BẢO HIỂM BẢO VIỆT
0,https://baoviet.com.vn/,0.46268272,0.23482737,0.30645530323162595,TỔNG CÔNG TY BẢO HIỂM BẢO VIỆT
0,https://www.bibica.com.vn/,0.7534013,0.5163491,0.22482717595177176,CÔNG TY CỔ PHẦN BIBICA
0,https://s.cafef.vn/hose/BBC-cong-ty-co-phan-bibica.chn,0.61391306,0.33485353,0.10868029407608772,CÔNG TY CỔ PHẦN BIBICA
0,https://finance.vietstock.vn/bbc/ho-so-doanh-nghiep.htm,0.4924532,0.3296048,0.2468758876533544,CÔNG TY CỔ PHẦN BIBICA
0,https://bhhk.com.vn/,0.39741683,0.36444533,0.45693812487340013,CÔNG TY CỔ PHẦN BẢO HIỂM HÀNG KHÔNG
0,https://ebhhk.com.vn/gioi-thieu.html,0.43648198,0.32800964,0.434518652826585,CÔNG TY CỔ PHẦN BẢO HIỂM HÀNG KHÔNG
0,https://ibaohiem.vn/gioi-thieu-bao-hiem-hang-khong-vni/,0.5141381,0.45585895,0.583091154094998,CÔNG TY CỔ PHẦN BẢO HIỂM HÀNG KHÔNG
0,https://anphatbioplastics.com/,0.32827485,0.1772711,0.042126257412640714,CÔNG TY CỔ PHẦN NHỰA VÀ MÔI TRƯỜNG XANH AN PHÁT
0,https://finance.vietstock.vn/AAA-ctcp-nhua-an-phat-xanh.htm,0.20017114,0.14645073,0.11489764621143267,CÔNG TY CỔ PHẦN NHỰA VÀ MÔI TRƯỜNG XANH AN PHÁT
0,https://www.fact-link.com.vn/home/anphat-vn,0.44009563,0.17046854,0.054983453501324206,CÔNG TY CỔ PHẦN NHỰA VÀ MÔI TRƯỜNG XANH AN PHÁT
0,http://p-techno.com/,0.55356133,0.41690257,0.0700917855564366,CÔNG TY TNHH P&P HEALING HOUSE
0,https://www.dussmann.vn/vi/dussmann-service/cong-ty/,0.5881591,0.55762136,0.14332912864118572,CÔNG TY TNHH P&P HEALING HOUSE
0,https://oneoneone.vn/organic-farms-korea/,0.43311068,0.12636395,0.07574014953093874,CÔNG TY TNHH XUẤT NHẬP KHẨU KORE
0,https://www.pghouse.vn/doanh-nghiep-vang/cong-ty-tnhh-dich-vu-bat-dong-san-premier-viet-nam-10875.html,0.51838994,0.36276358,0.07849470504858047,CÔNG TY TNHH DỊCH VỤ BẤT ĐỘNG SẢN H & N
0,https://www.taiphat.vn/,0.677168,0.26193297,0.05185475447259318,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ C.Z.C
0,https://minhkhang.com.vn/,0.3151854,0.2730661,0.011074404917440796,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ C.Z.C
0,https://vietincoseco.vn/,0.60575837,0.41503602,0.0564479376375097,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ C.Z.C
0,https://songnhat.com.vn/,0.42092037,0.44807363,0.1905291699059114,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI SONG NHẬT
0,https://myphambeautyqueen.net/,0.54154104,0.45721567,0.21028586323701987,CÔNG TY TNHH MỸ PHẨM SPA BEAUTY QUEEN
0,https://mioskin.vn/,0.71656996,0.3915579,0.21329999997185017,CÔNG TY CỔ PHẦN MỸ PHẨM MIOSKIN
0,https://giaan115.com/tin-tuc/khu-y-te-ky-thuat-cao-hoa-lam-shangri-la-da-ra-doi-nhu-the-nao,0.56367886,0.3849048,0.12084220853996269,CÔNG TY TNHH DỊCH VỤ SHANGRI-LA
0,https://doanhnghiepmoi.vn/thong-tin/CONG-TY-TNHH-HANG-HAI-QUOC-TUAN-13741.html,0.33141273,0.21987991,0.012202496878146889,CÔNG TY TNHH HÀNG HẢI QUỐC TUẤN
